CODE_FANTOIR;RIVOLI;CLE_CONTROLE
5910095660;5660;Y
5910095670;5670;J
5910095680;5680;V
5910095690;5690;F
5910095700;5700;S
5910095710;5710;C
5910095712;5712;E
5910095714;5714;G
5910095717;5717;K
5910095720;5720;N
5910095730;5730;Z
5910095740;5740;K
5910095750;5750;W
5910095753;5753;Z
5910095755;5755;B
5910095760;5760;G
5910095770;5770;T
5910095780;5780;D
5910095790;5790;P
5910095800;5800;A
5910095810;5810;L
5910095820;5820;X
5910095830;5830;H
5910095835;5835;N
5910095837;5837;R
5910095840;5840;U
5910095850;5850;E
5910095855;5855;K
5910095860;5860;R
5910095870;5870;B
5910095880;5880;M
5910095890;5890;Y
5910095900;5900;J
5910095910;5910;V
5910095920;5920;F
5910095930;5930;S
5910095940;5940;C
5910095950;5950;N
5910095960;5960;Z
5910095970;5970;K
5910095980;5980;W
5910095990;5990;G
5910096000;6000;T
5910096010;6010;D
5910096020;6020;P
5910096030;6030;A
5910096040;6040;L
5910096050;6050;X
5910096060;6060;H
5910096070;6070;U
5910096080;6080;E
5910096090;6090;R
5910096095;6095;W
5910096100;6100;B
5910096110;6110;M
5910096120;6120;Y
5910096130;6130;J
5910096140;6140;V
5910096145;6145;A
5910096150;6150;F
5910096160;6160;S
5910096161;6161;T
5910096170;6170;C
5910096180;6180;N
5910096190;6190;Z
5910096200;6200;K
5910096210;6210;W
5910096220;6220;G
5910096230;6230;T
5910096240;6240;D
5910096250;6250;P
5910096260;6260;A
5910096270;6270;L
5910096280;6280;X
5910096290;6290;H
5910096295;6295;N
5910096300;6300;U
5910096310;6310;E
5910096320;6320;R
5910096330;6330;B
5910096340;6340;M
5910096350;6350;Y
5910096360;6360;J
5910096370;6370;V
5910096380;6380;F
5910096390;6390;S
5910096400;6400;C
5910096410;6410;N
5910096420;6420;Z
5910096430;6430;K
5910096440;6440;W
5910096450;6450;G
5910096460;6460;T
5910096461;6461;U
5910096470;6470;D
5910096480;6480;P
5910096490;6490;A
5910096500;6500;L
5910096510;6510;X
5910096520;6520;H
5910096530;6530;U
5910096540;6540;E
5910096550;6550;R
5910096560;6560;B
5910096570;6570;M
5910096580;6580;Y
5910096590;6590;J
5910096600;6600;V
5910096610;6610;F
5910096620;6620;S
5910096623;6623;V
5910096630;6630;C
5910096640;6640;N
5910096650;6650;Z
5910096660;6660;K
5910096670;6670;W
5910096676;6676;C
5910096680;6680;G
5910096690;6690;T
5910096700;6700;D
5910096710;6710;P
5910096720;6720;A
5910096730;6730;L
5910096740;6740;X
